"Est","SE","SE.B"
2.002032225,0.087259536,0.087735376
1.952710954,0.086986117,0.08755903
1.966869249,0.087701746,0.087071335
2.028770211,0.086733044,0.087203911
2.239821682,0.091632494,0.091451104
1.973876648,0.088544654,0.089404338
2.247739182,0.0852933,0.085401739
2.225996608,0.084081931,0.083782413
2.056162701,0.086738839,0.086703908
2.011183252,0.084342382,0.084761934
2.031697544,0.084328109,0.084355314
1.993692671,0.093551939,0.093678216
2.047808185,0.088111342,0.08906206
1.879234091,0.083827566,0.08343265
1.967324827,0.090820556,0.089693237
2.004334556,0.091004018,0.090464412
1.956192235,0.086371642,0.085797081
2.091844982,0.092540364,0.092831637
1.940781665,0.092184785,0.093095921
1.901892515,0.084420047,0.084852822
1.981591523,0.092229241,0.09259781
2.063023164,0.089244527,0.090661193
2.022102989,0.085740574,0.085106078
1.932312522,0.085929942,0.085551233
1.993387952,0.089955647,0.089950913
2.018504163,0.081716193,0.081714883
1.888954627,0.086019785,0.085334045
1.954653204,0.08484854,0.08501778
2.064991895,0.084201069,0.084698899
1.926106417,0.088572939,0.089013636
2.079145792,0.088205812,0.088394802
2.049094183,0.088068035,0.089125207
2.081995024,0.086709621,0.086505311
2.039297378,0.089110925,0.088779923
2.104253941,0.086497003,0.086570728
2.123382209,0.086677698,0.086546981
2.050588868,0.087380879,0.086623042
2.024992083,0.09036218,0.089878799
1.889440754,0.088440986,0.088592294
1.975883418,0.086915162,0.085982259
2.049996513,0.087225016,0.086333889
1.920867948,0.084739735,0.084035024
2.069887754,0.086562225,0.086794541
2.072810554,0.086255984,0.08547582
2.092699892,0.086526317,0.086227164
2.098438801,0.088000488,0.0872586
2.016205095,0.08685934,0.086558439
2.04307927,0.082978961,0.083129218
1.9601796,0.090063699,0.088461123
2.011902478,0.083537441,0.082925755
1.954339464,0.084904545,0.084595032
2.029571111,0.084537703,0.084404943
1.979709219,0.083935563,0.083608428
1.891050967,0.081838712,0.081938171
1.866449924,0.083927538,0.082906416
2.001487692,0.088552894,0.088134496
1.98605917,0.092073261,0.092911761
2.04234615,0.083671801,0.084820831
1.785058445,0.088642933,0.088844508
1.948645635,0.083133179,0.083557829
2.107867621,0.089334075,0.088262739
2.158538229,0.087550686,0.087700231
1.956483038,0.085583599,0.085711004
2.11498187,0.084138611,0.084649492
1.927616202,0.084364439,0.083700486
2.024611095,0.086673351,0.086022676
2.15464923,0.08519024,0.08421534
2.029593829,0.084213995,0.083711975
2.156891203,0.084318832,0.084367211
1.982193531,0.09324768,0.09267126
2.022097668,0.089875929,0.089011851
2.117518332,0.088552097,0.088550219
1.875661697,0.088864907,0.088100976
2.03667032,0.082675694,0.082326379
2.181192608,0.089308977,0.089116231
2.086561442,0.089129039,0.088836658
2.026741934,0.088526812,0.088628353
2.061131461,0.082936905,0.082770211
2.220757689,0.086406188,0.085970442
1.962826348,0.08590102,0.085747505
2.071306633,0.090297663,0.090426118
1.954500944,0.082582438,0.081824989
2.061798193,0.086420163,0.086795232
1.990846005,0.079550006,0.078541797
2.011778864,0.085596717,0.086487729
2.095363852,0.085467079,0.085022865
1.953855118,0.089433385,0.088623045
2.108036409,0.088227854,0.088053906
2.127310358,0.08417012,0.08385101
2.050518459,0.088628567,0.088584414
1.979872038,0.083888245,0.083499587
1.91889522,0.089043366,0.088631153
1.92492703,0.087487592,0.08786831
1.969638001,0.087432548,0.087391239
1.851940907,0.087358105,0.087418532
1.921735089,0.089435894,0.090245557
1.985677396,0.087513999,0.088365395
2.091146409,0.084928249,0.084164325
2.19457188,0.090756452,0.090789037
2.023943861,0.086769631,0.086381462
2.007545201,0.089651468,0.090118704
1.965974156,0.08487876,0.084732508
2.071904344,0.089337802,0.088717078
1.747353596,0.08961321,0.090339867
1.892415965,0.083554193,0.08361788
1.988606573,0.090362674,0.090305895
1.880773325,0.086279973,0.086810136
1.82528464,0.087791059,0.089023776
2.138663528,0.087668981,0.088314159
2.024637251,0.085896572,0.085952663
2.034395604,0.088669715,0.088763301
1.976367113,0.087637833,0.087889058
2.005029129,0.08349756,0.082599986
1.819010307,0.089346018,0.088229436
1.921596099,0.082755514,0.083352105
2.06451033,0.082987153,0.082771896
1.938958742,0.086189475,0.086348606
2.070043997,0.086083792,0.086424824
2.020517131,0.089093753,0.090053784
1.816581426,0.08423409,0.083401337
1.962686715,0.092506198,0.09359026
1.975271485,0.087069291,0.086335686
2.08058709,0.081109679,0.080596587
2.043711712,0.091211434,0.090955384
2.182414137,0.083769608,0.083184968
2.030468298,0.08695616,0.086930743
2.12021739,0.092276434,0.091375395
1.964197703,0.083194638,0.0830882
1.913868227,0.087627331,0.088843106
2.020410845,0.087019844,0.087031142
1.949528782,0.088520623,0.089695225
2.122604009,0.090414664,0.091535844
2.043710605,0.085911228,0.086393481
2.108006944,0.098987382,0.09938499
1.967021496,0.096424653,0.096250379
1.912074541,0.090403608,0.089939711
2.132561013,0.085070603,0.085216719
2.059280149,0.086795003,0.086884973
1.967837414,0.082275589,0.081548796
2.110460098,0.088196634,0.087907903
2.046660248,0.091278361,0.091136656
2.033958264,0.08394122,0.084236993
2.010992035,0.087658689,0.088119254
1.939357951,0.083705306,0.082949617
2.018681523,0.086887805,0.087802243
1.986019637,0.089827257,0.088887502
1.881492871,0.091653705,0.091745719
2.073584806,0.086640877,0.086844786
1.987780576,0.091771126,0.091080781
2.12922539,0.089874011,0.089784661
2.125094921,0.088581584,0.089327068
2.043404031,0.088204267,0.087928159
2.026158954,0.088910633,0.089104187
1.921366692,0.081867431,0.080384462
2.074571611,0.092961666,0.093030191
1.973265238,0.086247346,0.086472188
1.959829159,0.089728383,0.090302204
1.917591329,0.088332063,0.088072999
2.031047054,0.084520811,0.083990833
2.079797474,0.09442251,0.09407325
2.052670257,0.087207394,0.086506356
1.914657611,0.088885218,0.089342666
2.060410982,0.08384735,0.083920379
2.028859859,0.088256236,0.08813227
2.027926444,0.085666433,0.085147138
1.901319144,0.088709584,0.090203564
1.843404494,0.08826823,0.088728628
1.880707645,0.090287698,0.089685257
2.075178611,0.091000092,0.090930637
2.043629225,0.091304178,0.090202964
2.036897502,0.087515162,0.08762472
1.963965475,0.083646588,0.084390837
1.960966668,0.089886224,0.09037614
2.093566142,0.08903008,0.088862719
1.832590684,0.080405665,0.079961415
2.01309198,0.082966131,0.082872483
1.94259523,0.08411722,0.083976792
1.981123406,0.084996077,0.084937967
2.091254689,0.079806408,0.080773655
1.86999197,0.09298456,0.092659849
1.956108318,0.084012746,0.084474943
1.982728365,0.082713114,0.08237477
1.867083615,0.088038442,0.088088791
2.03354472,0.087065112,0.087787426
2.023459988,0.083398096,0.083306582
2.026667108,0.088195931,0.08822115
1.969211244,0.088248457,0.088326597
1.831637913,0.087881097,0.088609385
2.100993257,0.091512704,0.091327332
1.985151967,0.084208974,0.085540619
2.127011816,0.091221142,0.091568311
2.06795359,0.089410224,0.088713594
1.885140966,0.088638365,0.088589078
1.997655485,0.088788985,0.089006629
2.069398815,0.086296871,0.086896191
2.02254173,0.092117375,0.092098809
1.847493284,0.08806852,0.087098773
1.991175343,0.092752271,0.092404243
1.997822485,0.083081284,0.082422555
1.980359408,0.089590265,0.088713895
2.089398905,0.078890529,0.07890931
1.820959892,0.081145898,0.081411621
1.881063119,0.083372221,0.083121592
1.976113742,0.086775858,0.086400219
2.060942399,0.088605105,0.088370462
2.063383466,0.084257196,0.084462436
2.072034509,0.092675427,0.092323417
1.907865354,0.089047346,0.0898223
1.870937494,0.084607142,0.08349073
1.971293618,0.080753717,0.080578856
1.834850945,0.081456517,0.081288355
2.006471244,0.088498465,0.089642523
2.160436771,0.083516058,0.08383763
2.011272654,0.088386302,0.088697345
2.001218984,0.088211456,0.08667428
1.854988032,0.089549248,0.087727425
2.208528783,0.086013923,0.085755023
1.97377778,0.087880122,0.088313608
