"Batch","Eff_Obs","Eff_Exp"
685,1.97554901614068,2.00437225609069
686,1.98239585186894,1.99967803510213
687,1.98857642073226,1.96947831737781
688,1.95597066035337,2.01555787065657
689,1.97093629424965,1.93928009172343
690,2.00906128581248,1.96934191732676
691,1.97715190126195,1.98569473145597
692,1.96817328968075,2.0263943735805
693,1.95971768448911,2.0061673654595
694,1.96778870089169,1.97475400900633
695,1.94654624589108,1.97458108522101
696,1.96123562513371,2.01499706601071
697,1.99736018380689,1.95382902808723
698,1.97863441372494,1.94101240787162
699,1.99322942477243,1.96505508004508
700,2.00478929007524,1.96602486095035
701,2.00573927159863,2.02994866382622
702,1.97438699798129,2.02182708861934
703,1.98889226578022,1.99491409543448
704,1.98472748981851,2.01228175084028
705,2.00038142760641,2.01061246040408
706,1.97815884414377,2.02418246718451
707,1.98193225535715,1.98755043398575
708,1.97797823713343,2.00250860882016
709,2.02083357530928,1.998909658323
710,1.97061501865247,2.00877224777149
711,1.98341112772137,1.96344486838362
712,1.97933628634359,1.95957430643516
713,1.97357193675291,1.97936195637913
714,1.99871212121285,1.98882210851049
715,1.97522567437581,1.9676209132429
716,1.97150848860177,1.9601147177198
717,1.9807325237696,2.0051589507438
718,1.98658894624146,1.9745853115252
719,1.98115699150874,2.00495974581077
720,2.01430375388623,1.96373958132395
721,1.96294116531942,1.96882917952824
722,1.94822024946987,1.99757462631676
723,1.95818684058188,2.0060700533829
724,2.01928201835826,2.0286676529014
725,1.96962879172358,2.00694832892593
726,2.00989116527788,2.02222031984797
727,1.95302625625435,1.99860641890591
728,1.991551824302,1.96962307185888
729,1.94289766034308,1.99894770909732
730,1.96824487184773,1.96018292526375
731,1.97718431813859,1.99036633963291
732,1.9760480060803,1.99106172911847
733,1.96704062928615,1.9728475249246
734,1.97957837500556,1.96485922628892
735,1.99444508835728,1.95464460290329
736,1.94816899018799,1.94837177905431
737,1.98370191610482,1.97630521616434
738,1.99005959939058,2.02812604738586
739,1.98263302772237,1.97297233286439
740,1.96053850213189,1.96337844271296
741,1.98494755838873,1.9395046906199
742,1.95365797235567,1.97628320691799
743,2.00591655251621,1.95858862811356
744,1.96369656630543,1.95454052109291
745,1.97876880867107,1.964947791001
746,1.95221421187072,1.99493022753443
747,2.00938162681616,1.98817526892384
748,1.99700280170967,1.97268304342989
749,1.99035834986079,1.97431659542861
750,1.9983475521385,1.96564857774566
751,1.97717865360357,1.95200656060894
752,1.99036442723474,1.9977697729518
753,1.97205333954691,1.98618162972397
754,1.97503551870158,1.95083436285852
755,2.01776236838906,1.97982006560079
756,2.00490014393991,1.97095774721414
757,1.9920213240321,2.02040075818932
758,1.95814238922091,1.96729414610513
759,1.97163224279477,1.98760945108325
760,2.02518932785175,1.99487907093348
761,1.94379484212229,1.9801335780133
762,1.948158416798,1.95263747020817
763,1.99520497281435,1.99475912128493
764,1.99669207552092,2.0045213067335
765,1.94423627697,1.97985672248165
766,1.96194974956159,1.96783424546794
767,1.98483633857159,1.96205649976465
768,2.00683896697569,1.98499565767432
769,2.01263267666218,1.94685681012303
770,2.02402957928918,1.98465980110531
771,2.01150033272187,1.98329164383113
