Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.184405886,0.373020674,0.373398789,1.917612774,1.242501419,0.57,1.913132588,0.301715947,0.301352553,2.332986994,1.242501419,0.57,1.403294654,5.938547791,2.197323834,0.050800477
1.642583967,0.416151761,0.416130805,2.156112366,1.203413665,0.58,2.207637188,0.313147342,0.314090982,2.483843234,1.203413665,0.58,1.309599038,4.749741519,1.993020643,0.050849361
1.897421591,0.394770574,0.395176244,2.404312912,1.341756821,0.56,2.016505413,0.318822858,0.315182572,2.470999852,1.341756821,0.56,0.756116188,4.574801616,2.042236523,0.051807444
2.212297704,0.392171431,0.388571606,2.633718394,1.217847863,0.64,1.870633251,0.266283643,0.26707294,2.415053144,1.217847863,0.64,0.876878139,6.766308342,1.929733564,0.052553669
1.767681372,0.396336999,0.39651402,2.161114998,1.109344581,0.595,2.313110729,0.305303471,0.30832893,2.485645465,1.109344581,0.595,0.649551327,6.689390032,1.969038298,0.052127662
1.537916029,0.328520523,0.330756731,2.263154514,1.340404897,0.6,1.851230305,0.284991456,0.283707357,2.45114308,1.340404897,0.6,0.973994542,3.862783151,1.948248702,0.0494628
1.292214667,0.485196122,0.480889971,2.099251356,1.29161719,0.625,1.551148349,0.266076265,0.266830634,2.261084908,1.29161719,0.625,1.129352802,8.209690196,1.985346627,0.052691627
2.107368912,0.556806401,0.558224437,2.120854566,1.025022731,0.52,2.508479682,0.358976188,0.360681022,2.329432166,1.025022731,0.52,1.565743414,4.405859915,2.064336587,0.052551317
1.778928072,0.553698479,0.552237041,2.321388061,1.262925858,0.595,1.969489832,0.302068511,0.306049926,2.434772308,1.262925858,0.595,1.3088199,5.688590781,2.026336691,0.0505693
2.340254438,0.394317121,0.395913749,2.333610866,1.034769653,0.555,2.1028897,0.312536463,0.310344539,2.201873437,1.034769653,0.555,1.081029928,5.115986084,2.080898718,0.051130297
2.206016838,0.472509615,0.465742589,2.645127044,1.277396604,0.62,2.123570178,0.284909528,0.28376293,2.594010114,1.277396604,0.62,1.174695327,6.890521451,1.983638991,0.050233052
-0.138825207,1.04003328,1.039009734,1.189611695,1.280542205,0.655,2.07273882,0.270325595,0.27010245,2.638186133,1.280542205,0.655,1.845847659,10.9064006,2.11849957,0.050153125
1.975113142,0.349356987,0.352388278,2.342269069,1.186827881,0.585,1.726897295,0.288946626,0.290359401,2.197062798,1.186827881,0.585,0.946992349,3.205323138,1.932973281,0.052191969
1.607320783,0.449417666,0.445468275,2.107664067,1.175418013,0.58,1.774082303,0.303276616,0.30325911,2.204385749,1.175418013,0.58,1.290586911,4.612171173,2.188136325,0.055097329
1.986832197,0.393499745,0.392113267,2.889545531,1.468960511,0.715,1.689849986,0.249009128,0.248769949,2.677203251,1.468960511,0.715,1.487482681,5.697040517,1.879179895,0.053585083
2.576503933,0.554223409,0.552223164,2.697646237,1.216156476,0.575,2.189396011,0.307883289,0.309273376,2.475059182,1.216156476,0.575,0.840041175,7.299534533,1.973881845,0.049755063
1.557500631,0.389588958,0.387288371,2.240825944,1.275175553,0.62,1.754510123,0.277607726,0.277514036,2.362971829,1.275175553,0.62,1.298926999,5.495436905,2.009206801,0.050935291
3.134056547,0.715907518,0.715940278,3.030658261,1.150224333,0.6,2.342031561,0.30976703,0.309032399,2.555443269,1.150224333,0.6,1.591704654,8.346896879,1.861042537,0.053750086
1.628409234,0.350474197,0.352873613,2.155277384,1.243368213,0.56,2.278060279,0.322684675,0.322130566,2.519081969,1.243368213,0.56,0.988230422,3.652819956,2.008015364,0.050580836
1.518867005,0.563931271,0.560601015,2.175303102,1.347520584,0.545,2.246131081,0.358735581,0.361260877,2.571662023,1.347520584,0.545,1.391255468,4.671190887,2.117877514,0.050813406
1.874174521,0.456469537,0.453274904,2.157751099,1.136325985,0.545,2.249153872,0.351372789,0.352436696,2.362114845,1.136325985,0.545,1.109365332,7.851386613,2.094662316,0.051332535
1.905717775,0.492458869,0.493505181,2.825010614,1.529122526,0.68,1.425986226,0.248073617,0.247263808,2.49879316,1.529122526,0.68,1.24637128,6.979952965,2.035109016,0.051155496
1.436653882,0.303638245,0.303746135,2.204504445,1.320962307,0.615,1.553883845,0.25728454,0.257334467,2.276600872,1.320962307,0.615,1.108500269,4.419627919,2.001440201,0.049173258
2.569600493,0.56586536,0.570139763,2.944682722,1.274442401,0.65,1.726757966,0.266530232,0.268551593,2.396835079,1.274442401,0.65,1.371879285,6.768583614,2.05647556,0.052452336
1.20365412,0.809728223,0.799275869,2.033792915,1.305582173,0.605,1.483398991,0.286674114,0.286366544,2.203038562,1.305582173,0.605,1.902816535,8.855636319,1.945129946,0.051202733
2.061164946,0.698476885,0.697408184,2.736849473,1.376480609,0.66,1.501237197,0.252318035,0.251526929,2.367297159,1.376480609,0.66,1.588497039,5.658853122,1.956045866,0.050557633
1.88176292,0.695157646,0.695404673,2.402804925,1.217294286,0.63,2.09225736,0.283703158,0.285093866,2.535416422,1.217294286,0.63,1.509692141,10.09455325,1.911683911,0.050263749
2.007858762,0.391713682,0.391890536,2.448821942,1.224028097,0.61,1.809187312,0.285658937,0.283291269,2.327632358,1.224028097,0.61,0.550210482,5.505555012,2.088500248,0.050160524
1.485091234,0.436950769,0.435337448,2.022913647,1.154135276,0.585,2.128007979,0.297538442,0.301337471,2.399019943,1.154135276,0.585,1.171559768,6.484074227,2.014169158,0.051612586
1.922081126,0.529023123,0.528428598,2.246800086,1.16082425,0.565,2.13327644,0.32296535,0.318991194,2.366125438,1.16082425,0.565,1.525905454,6.145671914,2.050723478,0.053544547
1.668589285,0.384089893,0.386076206,2.272394595,1.271241023,0.6,1.620108144,0.283449323,0.281962408,2.24330591,1.271241023,0.6,0.880894394,5.714541078,1.948553589,0.050967633
2.233533144,0.546491209,0.550211369,2.510299482,1.248353255,0.565,2.693209684,0.343107702,0.33817349,2.770016727,1.248353255,0.565,1.711351773,6.065650666,2.022445566,0.050251961
